id,key,value,type
149473120,highway,traffic_signals,regular
149473294,highway,motorway_junction,regular
149473294,noref,yes,regular
149473618,highway,motorway_junction,regular
149473618,noref,yes,regular
149473624,highway,motorway_junction,regular
149473624,ref,145A,regular
149474943,highway,motorway_junction,regular
149474943,ref,577,regular
149475141,highway,motorway_junction,regular
149475147,highway,motorway_junction,regular
149475147,ref,133,regular
149475538,highway,motorway_junction,regular
149475538,ref,25B,regular
149475551,highway,motorway_junction,regular
149475551,noref,yes,regular
149475713,highway,turning_circle,regular
149476329,highway,motorway_junction,regular
149476329,ref,135,regular
149476522,highway,motorway_junction,regular
149476522,noref,yes,regular
149476574,highway,motorway_junction,regular
149476574,noref,yes,regular
149476584,highway,motorway_junction,regular
149476584,ref,572,regular
149476584,right,572,ref
149476707,highway,traffic_signals,regular
149476760,highway,motorway_junction,regular
149476760,noref,yes,regular
149477051,highway,motorway_junction,regular
149477051,ref,46,regular
149477229,highway,motorway_junction,regular
149477335,highway,traffic_signals,regular
149477735,highway,motorway_junction,regular
149477735,ref,585,regular
149477927,highway,motorway_junction,regular
149477927,ref,157B,regular
149477973,highway,motorway_junction,regular
149477973,ref,156,regular
149478227,noexit,yes,regular
149478378,highway,motorway_junction,regular
149478378,noref,yes,regular
149478390,highway,motorway_junction,regular
149478390,ref,154B,regular
149478457,railway,level_crossing,regular
149480587,highway,traffic_signals,regular
149480795,highway,motorway_junction,regular
149480795,ref,31,regular
149481056,highway,motorway_junction,regular
149481056,ref,48,regular
149481393,highway,motorway_junction,regular
149481393,old_ref,559,regular
149481393,ref,558,regular
149481749,highway,motorway_junction,regular
149481749,ref,135,regular
149482356,railway,level_crossing,regular
149482508,power,tower,regular
149482510,power,tower,regular
149482512,power,tower,regular
149482513,power,tower,regular
149482727,railway,level_crossing,regular
149482831,material,metal,regular
149482831,power,tower,regular
149482831,structure,tubular,regular
149483162,highway,motorway_junction,regular
149483162,ref,4,regular
149483302,highway,motorway_junction,regular
149483302,note,includes former exits 148A (Spur 422) and 148B (Palo Alto Road),regular
149483302,ref,149,regular
149484093,power,portal,regular
149484097,power,tower,regular
149484101,power,tower,regular
149484103,power,tower,regular
149484144,highway,turning_circle,regular
149484340,highway,motorway_junction,regular
149484340,noref,yes,regular
149484414,highway,motorway_junction,regular
149484414,noref,yes,regular
149484450,power,tower,regular
149484452,power,tower,regular
149484454,power,tower,regular
149484456,power,tower,regular
149484458,power,tower,regular
149484459,power,tower,regular
149484461,power,tower,regular
149484707,highway,motorway_junction,regular
149484707,ref,152B,regular
149485097,highway,motorway_junction,regular
149485097,ref,156,regular
149485097,right,156,ref
149485326,highway,motorway_junction,regular
149485326,ref,42,regular
149485395,highway,motorway_junction,regular
149485395,ref,48,regular
149485551,highway,traffic_signals,regular
149485883,highway,motorway_junction,regular
149485883,noref,yes,regular
149485959,highway,traffic_signals,regular
149486034,highway,traffic_signals,regular
149486092,highway,traffic_signals,regular
149486092,source,Bing,regular
149486121,highway,motorway_junction,regular
149486121,ref,567,regular
149486233,highway,motorway_junction,regular
149486233,ref,140A,regular
149486582,highway,motorway_junction,regular
149486582,ref,26A,regular
149486902,highway,motorway_junction,regular
149486902,noref,yes,regular
149486947,highway,motorway_junction,regular
149486947,ref,33,regular
149487661,highway,motorway_junction,regular
149487661,noref,yes,regular
149488177,highway,motorway_junction,regular
149488177,ref,138B,regular
149488248,highway,crossing,regular
149488306,highway,motorway_junction,regular
149488306,ref,146,regular
149488310,highway,motorway_junction,regular
149488310,ref,51,regular
149488686,highway,motorway_junction,regular
149488686,ref,41,regular
149488702,highway,motorway_junction,regular
149488702,noref,yes,regular
149488750,highway,traffic_signals,regular
149488766,highway,traffic_signals,regular
149488853,highway,motorway_junction,regular
149488853,ref,16,regular
149489615,barrier,yes,regular
149489630,barrier,gate,regular
149489746,highway,motorway_junction,regular
149489746,noref,yes,regular
149489853,highway,motorway_junction,regular
149489853,noref,yes,regular
149489867,highway,motorway_junction,regular
149489867,ref,130,regular
149489878,highway,motorway_junction,regular
149489878,ref,130,regular
149489942,highway,motorway_junction,regular
149489942,ref,570,regular
149489968,highway,motorway_junction,regular
149489968,ref,567A,regular
149489977,highway,motorway_junction,regular
149489977,noref,yes,regular
149490490,highway,traffic_signals,regular
149490500,highway,motorway_junction,regular
149490500,ref,136,regular
149491182,highway,motorway_junction,regular
149491182,ref,16,regular
149491398,highway,motorway_junction,regular
149491398,ref,20B,regular
149491650,highway,traffic_signals,regular
149491659,highway,motorway_junction,regular
149491659,noref,yes,regular
149491689,highway,motorway_junction,regular
149491689,noref,yes,regular
149491894,highway,motorway_junction,regular
149491894,ref,566B,regular
149492105,highway,turning_circle,regular
149492337,highway,motorway_junction,regular
149492337,ref,578,regular
149492462,highway,motorway_junction,regular
149492462,ref,159A,regular
149492786,railway,level_crossing,regular
149493009,highway,motorway_junction,regular
149493009,ref,147,regular
149493156,highway,turning_circle,regular
149493645,highway,motorway_junction,regular
149493645,ref,132,regular
149493896,highway,turning_circle,regular
149493903,highway,turning_circle,regular
149494241,highway,motorway_junction,regular
149494241,noref,yes,regular
149494261,highway,motorway_junction,regular
149494261,ref,162,regular
149494467,highway,motorway_junction,regular
149494467,ref,158B,regular
149494516,highway,motorway_junction,regular
149494516,ref,137,regular
149494526,highway,traffic_signals,regular
149494642,highway,motorway_junction,regular
149494642,noref,yes,regular
149494729,highway,turning_circle,regular
149494832,highway,motorway_junction,regular
149494832,ref,136,regular
149494946,railway,level_crossing,regular
149494966,railway,level_crossing,regular
149494970,railway,level_crossing,regular
149494986,railway,level_crossing,regular
149494998,railway,level_crossing,regular
149495524,highway,motorway_junction,regular
149495524,noref,yes,regular
149495540,highway,traffic_signals,regular
149495964,highway,motorway_junction,regular
149495964,ref,7,regular
149495996,highway,motorway_junction,regular
149495996,ref,42,regular
149496062,highway,motorway_junction,regular
149496062,ref,141,regular
149496274,highway,traffic_signals,regular
149497024,highway,motorway_junction,regular
149497024,ref,568,regular
149497246,highway,motorway_junction,regular
149497246,noref,yes,regular
149497719,highway,turning_circle,regular
149497755,highway,turning_circle,regular
149498253,highway,motorway_junction,regular
149498253,ref,14B,regular
149498520,highway,motorway_junction,regular
149498520,ref,32,regular
149498747,highway,motorway_junction,regular
149498747,noref,yes,regular
149498791,highway,motorway_junction,regular
149498791,ref,140B,regular
149498799,highway,traffic_signals,regular
149498950,highway,motorway_junction,regular
149498950,ref,1,regular
149499477,highway,motorway_junction,regular
149499477,ref,46,regular
149499491,highway,motorway_junction,regular
149499491,ref,43,regular
149499640,highway,motorway_junction,regular
149499640,ref,560A,regular
149499754,highway,motorway_junction,regular
149499754,noref,yes,regular
149499758,highway,traffic_signals,regular
149500008,highway,motorway_junction,regular
149500008,ref,4,regular
149500225,highway,motorway_junction,regular
149500225,noref,yes,regular
149500624,highway,motorway_junction,regular
149500624,ref,170A,regular
149500828,highway,motorway_junction,regular
149500828,ref,39,regular
149501259,highway,motorway_junction,regular
149501259,noref,yes,regular
149501269,highway,motorway_junction,regular
149501269,ref,41,regular
149501620,highway,motorway_junction,regular
149501620,ref,158,regular
149501949,highway,give_way,regular
149502662,access,private,regular
149502662,barrier,gate,regular
149502801,highway,motorway_junction,regular
149502801,ref,144,regular
149502845,highway,traffic_signals,regular
149503326,highway,motorway_junction,regular
149503326,ref,566A,regular
149503546,highway,turning_circle,regular
149503876,highway,motorway_junction,regular
149503876,ref,168,regular
149504035,highway,turning_circle,regular
149504051,highway,motorway_junction,regular
149504051,ref,12,regular
149504299,highway,motorway_junction,regular
149504299,ref,167B,regular
149504404,highway,motorway_junction,regular
149504404,noref,yes,regular
149505085,highway,motorway_junction,regular
149505085,ref,170B,regular
149505129,highway,motorway_junction,regular
149505129,ref,13A,regular
149505171,highway,traffic_signals,regular
149506008,highway,motorway_junction,regular
149506008,ref,132,regular
149507180,highway,traffic_signals,regular
149507191,highway,motorway_junction,regular
149507191,ref,141A,regular
149507465,highway,motorway_junction,regular
149507465,noref,yes,regular
149507530,highway,motorway_junction,regular
149507530,ref,30,regular
149507621,highway,crossing,regular
149507637,highway,motorway_junction,regular
149507637,ref,155C,regular
149507921,highway,motorway_junction,regular
149507921,noref,yes,regular
149508030,highway,motorway_junction,regular
149508030,noref,yes,regular
149508096,highway,motorway_junction,regular
149508096,ref,158C,regular
149508142,highway,motorway_junction,regular
149508142,noref,yes,regular
149508441,highway,motorway_junction,regular
149508441,ref,150A,regular
149508586,barrier,gate,regular
149509149,highway,motorway_junction,regular
149509149,ref,141,regular
149509150,highway,motorway_junction,regular
149509150,ref,158,regular
149509725,highway,motorway_junction,regular
149509725,ref,2,regular
149509836,highway,motorway_junction,regular
149509836,ref,575,regular
149509887,highway,motorway_junction,regular
149509887,noref,yes,regular
149510138,highway,motorway_junction,regular
149510138,noref,yes,regular
149510463,railway,level_crossing,regular
149511073,highway,traffic_signals,regular
149511115,highway,motorway_junction,regular
